,Title,Title_URL,Description,username,tweet_time,tweet_time_fetched,before_kword,comments_fetched,retweet_fetched,like_fetched,view_link,view_fetched
0,,,,,,,,26.5,113.0,,,
1,,,,,,,,26.5,113.0,,,
2,Spotify,,,@Spotify,,,,26.5,113.0,,,
3,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
4,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
5,,,,,,,,26.5,113.0,,,
6,,,,,,,,26.5,113.0,,,
7,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
8,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
9,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
10,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
11,,,,,,,,26.5,113.0,,,
12,,,,,,,,26.5,113.0,,,
13,Spotify,,,@Spotify,,,,26.5,113.0,,,
14,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
15,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
16,,,,,,,,26.5,113.0,,,
17,,,,,,,,26.5,113.0,,,
18,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
19,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
20,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
21,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
22,,,,,,,,26.5,113.0,,,
23,,,,,,,,26.5,113.0,,,
24,Spotify,,,@Spotify,,,,26.5,113.0,,,
25,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
26,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
27,,,,,,,,26.5,113.0,,,
28,,,,,,,,26.5,113.0,,,
29,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
30,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
31,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
32,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
33,,,,,,,,26.5,113.0,,,
34,,,,,,,,26.5,113.0,,,
35,Spotify,,,@Spotify,,,,26.5,113.0,,,
36,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
37,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
38,,,,,,,,26.5,113.0,,,
39,,,,,,,,26.5,113.0,,,
40,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
41,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
42,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
43,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
44,,,,,,,,26.5,113.0,,,
45,,,,,,,,26.5,113.0,,,
46,Spotify,,,@Spotify,,,,26.5,113.0,,,
47,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
48,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
49,,,,,,,,26.5,113.0,,,
50,,,,,,,,26.5,113.0,,,
51,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
52,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
53,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
54,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
55,,,,,,,,26.5,113.0,,,
56,,,,,,,,26.5,113.0,,,
57,Spotify,,,@Spotify,,,,26.5,113.0,,,
58,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
59,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
60,,,,,,,,26.5,113.0,,,
61,,,,,,,,26.5,113.0,,,
62,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
63,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
64,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
65,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
66,,,,,,,,26.5,113.0,,,
67,,,,,,,,26.5,113.0,,,
68,Spotify,,,@Spotify,,,,26.5,113.0,,,
69,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
70,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
71,,,,,,,,26.5,113.0,,,
72,,,,,,,,26.5,113.0,,,
73,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
74,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
75,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
76,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
77,,,,,,,,26.5,113.0,,,
78,,,,,,,,26.5,113.0,,,
79,Spotify,,,@Spotify,,,,26.5,113.0,,,
80,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
81,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
82,,,,,,,,26.5,113.0,,,
83,,,,,,,,26.5,113.0,,,
84,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
85,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
86,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
87,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
88,,,,,,,,26.5,113.0,,,
89,,,,,,,,26.5,113.0,,,
90,Spotify,,,@Spotify,,,,26.5,113.0,,,
91,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
92,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
93,,,,,,,,26.5,113.0,,,
94,,,,,,,,26.5,113.0,,,
95,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
96,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
97,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
98,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
99,,,,,,,,26.5,113.0,,,
100,,,,,,,,26.5,113.0,,,
101,Spotify,,,@Spotify,,,,26.5,113.0,,,
102,Spotify Status,,,@SpotifyStatus,,,,26.5,113.0,,,
103,Hugot Marcelo on Spotify,,https://pbs.twimg.com/profile_images/1614929428009881600/0G7SToVJ_normal.jpg,@akoposimarcelo,,,,26.5,113.0,,,
104,,,,,,,,26.5,113.0,,,
105,,,,,,,,26.5,113.0,,,
106,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
107,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
108,XG OFFICIAL,https://twitter.com/XGOfficial_,https://pbs.twimg.com/profile_images/1610924024091267073/UpPO8LMM_normal.jpg,@XGOfficial_,https://twitter.com/XGOfficial_/status/1628267714623209472,1m,4M Monthly Listeners on,12.0,61.0,212,https://twitter.com/XGOfficial_/status/1628267714623209472/analytics,"1,191"
109,SpotifySwiftie,https://twitter.com/SpotifySwiftie,https://pbs.twimg.com/profile_images/1565059266733608968/hsUF0cYy_normal.jpg,@SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1628066671779799045,13h,"Artists which have placed 5 Albums in the Top 50 on the Billboard 200 in a single week:

1. Taylor Swift — 17 times* 
2. Garth Brooks — 4 times
3. Whitney Houston, Prince — 3 times
4. Glee Cast, Mac Miller, Rihanna [NEW] — 1 time

*not including this week",41.0,165.0,"1,435",https://twitter.com/SpotifySwiftie/status/1628066671779799045/analytics,49.8K
